title,url
 آقا دزده | ۱۳۴۵,https://www.youtube.com/watch?v=4Hlk98lzKi0
 آقا رضای گل,https://www.youtube.com/watch?v=RuvmJTcHiLQ
 آقا مهدی وارد می‌شود,https://www.youtube.com/watch?v=j4mb0d2Ca1c
 آقای قرن بیستم,https://www.youtube.com/watch?v=N8klXBjFYck
 اتل متل توتوله,https://www.youtube.com/watch?v=663v7_al4Xw
 احمد چوپان,https://www.youtube.com/watch?v=ET9DPUv2e8g
 اخم نکن سرکار,https://www.youtube.com/watch?v=R4QiSACVNfM
 اسلحه ,https://www.youtube.com/watch?v=pSwUqKB_ZdQ
 الکی خوش | ۱۳۵۳,https://www.youtube.com/watch?v=6wmK5IodX9c
 این دست کجه,https://www.youtube.com/watch?v=1hxaon140z4
 ایوب | ۱۳۵۰,https://www.youtube.com/watch?v=Nyrg2vMOrhc
 بابا شمل,https://www.youtube.com/watch?v=0CWB9lbAGow
 بابا گلی به جمالت,https://www.youtube.com/watch?v=Pkl7xPP24qY
 ببر رینگ,https://www.youtube.com/watch?v=YtV55inZzvw
 برادرکشی,https://www.youtube.com/watch?v=hGD5p_KAm-E
 برای که قلب‌ها می‌تپد,https://www.youtube.com/watch?v=SYwur3DqxwQ
 بندری | ۱۳۵۲,https://www.youtube.com/watch?v=c_bcLYE_h70
 بیگانه | 1352,https://www.youtube.com/watch?v=KJjbUwBiK5w
 پا برهنه‌ها,https://www.youtube.com/watch?v=gh1-HWF0-hk
 پاپوش,https://www.youtube.com/watch?v=fzJkoIMMrMg
 پخمه | 1351,https://www.youtube.com/watch?v=CeU_hbuzd3c
 پسر خوانده,https://www.youtube.com/watch?v=TMKZjZIkukE
 پشت و خنجر,https://www.youtube.com/watch?v=N7C9cRNuoe4
 پشمالو,https://www.youtube.com/watch?v=Yt-O4YPWtIM
 پل,https://www.youtube.com/watch?v=Pqc9GcGJLC0
 پنجه آهنین | 1347,https://www.youtube.com/watch?v=j6OZ-lcy7Es
 پهلوان پهلوانان | 1348,https://www.youtube.com/watch?v=11nbG8yZYjg
 پهلوان در قرن اتم,https://www.youtube.com/watch?v=E8OAa1CnTVs
 پهلوان در قرن اتم | 1350,https://www.youtube.com/watch?v=ApRpvsoZpjc
 پهلوان مفرد,https://www.youtube.com/watch?v=PTEBEYvOBpk
 تلافی,https://www.youtube.com/watch?v=dn038mCvPLE
 تنها حامی,https://www.youtube.com/watch?v=P4E9h7m-0Wg
 تنها حامی | ۱۳۵۵  ,https://www.youtube.com/watch?v=2IQ10YbDnrA
 تهمت,https://www.youtube.com/watch?v=0FctRSM6JOc
 توبه,https://www.youtube.com/watch?v=AYviOvTrg94
 جلاد,https://www.youtube.com/watch?v=j1d9gWUq92c
 جمعه,https://www.youtube.com/watch?v=zczZBOdb9qo
 جنجال,https://www.youtube.com/watch?v=vICcCSYFgy8
 چشم انتظار,https://www.youtube.com/watch?v=7dfwV8Hwen0
 حریص,https://www.youtube.com/watch?v=l4DgomcMdNo
 حسرت,https://www.youtube.com/watch?v=RtpqqSt5XgE
 حسن دینامیت,https://www.youtube.com/watch?v=PeNquB4Nyng
 حسین آژدان,https://www.youtube.com/watch?v=8iWXx6IUf38
